Description,Code,Number of jobs,Median,Median annual percentage change,Mean,Mean annual percentage change,10,20,25,30,40,60,70,75,80,90
"Financial service activities, except insurance and pension funding ",64,429,40376,5.5,64997,6.9,16841,21626,24313,26911,32837,50367,62886,71677,83374,x
"Insurance, reinsurance and pension funding, except compulsory social security ",65,97,36092,-0.4,49769,5.5,17677,21821,23428,25688,30812,41837,50425,55447,65477,x
Activities auxiliary to financial services and insurance activities ,66,304,34582,1.4,60034,5.1,15047,19677,21366,23358,28759,42130,52411,61191,72005,x
REAL ESTATE ACTIVITIES ,L ,314,25155,3.6,30624,4.7,9128,15000,17272,19222,22212,28062,32610,35062,38750,x
Real estate activities ,68,314,25155,3.6,30624,4.7,9128,15000,17272,19222,22212,28062,32610,35062,38750,x
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M ,1541,31632,1.2,39720,0.8,11085,17344,19855,22186,27028,37021,43932,48246,53727,74250
Legal and accounting activities ,69,468,29458,5.4,38223,6.2,10886,16068,17997,20014,24603,35587,43169,48753,54760,76821
Activities of head offices; management consultancy activities ,70,336,31258,-0.8,44732,1,10918,17074,19351,21747,26526,37979,46034,51696,59647,x
Architectural and engineering activities; technical testing and analysis ,71,360,33472,-1.6,39126,-2.3,14167,20800,23534,25653,30000,38426,44415,47580,52207,66267
Scientific research and development ,72,120,38667,-1.6,44600,-5.7,x,26332,28660,30654,34534,42611,48043,52463,57487,x
Advertising and market research ,73,103,32000,-3,40079,-0.6,8785,17589,20257,22582,26667,38154,44104,49350,54271,x
"Other professional, scientific and technical activities ",74,105,28667,3,34210,1.9,x,13830,15850,19151,24723,32670,39359,42616,46495,x
Veterinary activities ,75,49,18186,2.1,23093,0.6,7556,10502,11722,13023,15938,21371,27041,x,x,x
ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ,N ,1089,20042,5.8,26258,10.8,5559,9463,11595,13636,16989,23729,28183,31204,35000,46908
Rental and leasing activities ,77,128,26227,-1.1,31447,2.1,12000,17998,19379,20472,23451,30346,34615,36714,40075,x
Employment activities ,78,265,19263,17.5,25261,18.8,6011,10176,12010,13568,16207,23194,28198,31829,35975,x
"Travel agency, tour operator and other reservation service and related activities ",79,73,23788,7.9,31469,10,x,x,16228,17758,21010,28281,x,x,x,x
Security and investigation activities ,80,79,20371,3.5,21186,1.1,x,x,x,14979,17980,23277,26142,27488,29553,x
Services to buildings and landscape activities ,81,311,15106,0.5,18488,0.8,3897,5850,6708,7957,10903,18347,22295,24707,27329,37422
"Office administrative, office support and other business support activities ",82,234,22159,0.7,34984,10.8,8160,12112,14595,16200,18870,26147,31971,35304,40000,x
PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ,O ,1201,30302,4,31381,3.7,12444,18880,20874,22849,26706,33943,38330,40436,42701,49612
Public administration and defence; compulsory social security ,84,1201,30302,4,31381,3.7,12444,18880,20874,22849,26706,33943,38330,40436,42701,49612
EDUCATION ,P ,3211,23398,2,25802,1.4,6022,10937,12893,14875,19087,27891,33418,36210,38633,47116
Education ,85,3211,23398,2,25802,1.4,6022,10937,12893,14875,19087,27891,33418,36210,38633,47116
HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ,Q ,3364,20609,4.1,25066,3.3,7738,11454,13135,14664,17617,23985,28400,30895,34312,43406
Human health activities ,86,2240,23537,2.8,28704,3.3,9347,13881,15759,17539,20490,27586,31924,34896,37893,48256
