Description,Code,Number of jobs,Median,Median annual percentage change,Mean,Mean annual percentage change,10,20,25,30,40,60,70,75,80,90
Activities of head offices; management consultancy activities ,70,x,x,,x,,x,x,x,"21,110","25,660",x,x,x,x,x
Architectural and engineering activities; technical testing and analysis ,71,x,x,,"30,869",-3.9,x,x,x,x,x,"31,437",x,x,x,x
Scientific research and development ,72,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Advertising and market research ,73,x,x,,"26,314",24.4,x,x,x,x,x,x,x,x,x,x
"Other professional, scientific and technical activities ",74,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Veterinary activities ,75,x,x,,x,,x,x,x,x,x,x,x,x,x,x
  Administrative and support service activities ,N,24,"17,598",,"20,881",,"6,957","10,239","11,482","13,120","15,940","19,419","21,821","23,422",x,x
Rental and leasing activities ,77,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Employment activities ,78,6,"17,686",22.3,"20,892",13.4,x,x,"11,345","14,010","14,867","18,563",x,x,x,x
"Travel agency, tour operator and other reservation service and related activities ",79,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Security and investigation activities ,80,x,x,,"17,639",,x,x,x,x,x,x,x,x,x,x
Services to buildings and landscape activities ,81,5,x,,x,,x,"6,942",x,x,x,x,x,x,x,x
"Office administrative, office support and other business support activities ",82,8,"16,976",4.9,"20,584",-5.1,x,"11,495","11,942","13,592","16,236","18,117",x,x,x,x
  Public administration and defence; compulsory social security ,O,61,"30,458",3.8,"32,638",1.6,"15,527","21,259","22,514","23,793","26,606","34,034","40,072","42,876","45,982",x
Public administration and defence; compulsory social security ,84,61,"30,458",3.8,"32,638",1.6,"15,527","21,259","22,514","23,793","26,606","34,034","40,072","42,876","45,982",x
  Education ,P,84,"24,419",6.2,"25,930",1.0,"7,346","10,572","12,275","14,234","18,949","31,981","37,123","38,423","39,773",x
Education ,85,84,"24,419",6.2,"25,930",1.0,"7,346","10,572","12,275","14,234","18,949","31,981","37,123","38,423","39,773",x
  Human health and social work activities ,Q,130,"20,642",2.1,"24,354",1.7,"8,244","11,722","13,662","15,033","17,714","24,287","28,462","30,544","33,559",x
Human health activities ,86,93,"24,477",2.1,"27,957",0.4,"9,828","15,301","17,155","18,478","21,134","28,289","31,997","34,906","36,465",x
Residential care activities ,87,16,"14,614",2.1,"15,177",-0.3,x,"9,521","10,305","11,228","13,132","15,712","17,199","17,549",x,x
Social work activities without accommodation ,88,21,"13,917",4.2,"15,296",3.0,"5,461","8,204","8,732","9,773","12,083","15,640",x,x,x,x
"  Arts, entertainment and recreation ",R,12,"18,055",9.1,"18,891",-6.5,x,x,"11,057","12,216","15,707","20,646","22,196","24,059",x,x
"Creative, arts and entertainment activities ",90,x,x,,x,,x,x,x,x,x,x,x,x,x,x
"Libraries, archives, museums and other cultural activities ",91,x,x,,"19,572",7.0,x,x,x,x,x,x,x,x,x,x
Gambling and betting activities ,92,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Sports activities and amusement and recreation activities ,93,7,"18,674",13.1,"18,698",,x,x,x,x,"15,649",x,x,x,x,x
  Other service activities ,S,10,"14,868",,"19,073",,x,x,x,x,"11,749",x,x,x,x,x
Activities of membership organisations ,94,6,x,,"22,556",9.6,x,x,x,x,x,x,x,x,x,x
Repair of computers and personal and household goods ,95,..,,,,,,,,,,,,,,
Other personal service activities ,96,x,x,,x,,x,x,x,x,x,x,x,x,x,x
