Description,Code,Number of jobs,Median,Annual percentage change (Median),Mean,Annual percentage change (Mean),10,20,25,30,40,60,70,75,80,90
      Nurses,2231,767,28109,2.5,27777,3.7,10951,17706,19964,21941,25406,30821,33700,35445,37280,42262
      Midwives,2232,50,29360,2.2,29283,2.6,13816,18877,20693,22678,25892,31985,35990,37684,38822,x
  Teaching and educational professionals,23,1265,34455,1.8,34194,1.1,11551,20388,23205,25368,29859,37870,41129,43274,46039,54035
    Teaching and educational professionals,231,1265,34455,1.8,34194,1.1,11551,20388,23205,25368,29859,37870,41129,43274,46039,54035
      Higher education teaching professionals,2311,140,45307,-2.2,44677,-1.3,x,23293,29290,33785,39899,49582,54194,56633,59841,73774
      Further education teaching professionals,2312,111,31678,3.2,30079,2.1,7530,16711,19322,22522,27514,34919,38450,39902,42961,x
      Secondary education teaching professionals,2314,410,36210,1.2,34737,1.1,16637,23786,25809,27868,32478,38581,41516,43149,44963,49679
      Primary and nursery education teaching professionals,2315,388,31629,2.7,30402,2.5,12783,20026,22800,23873,27697,34848,37361,38473,39773,44684
      Special needs education teaching professionals,2316,34,29357,7.3,29114,-0.8,x,15788,18829,20264,25568,34427,37353,40107,41196,x
      Senior professionals of educational establishments,2317,87,52765,0.1,53225,1.7,26546,35021,38027,41806,48487,57496,61640,64225,67546,x
      Education advisers and school inspectors,2318,15,34319,4.4,35231,6.8,x,x,21772,25256,31913,41427,45096,47000,x,x
      Teaching and other educational professionals n.e.c.,2319,81,17205,2.9,18731,3.4,x,6312,7641,9644,12978,21089,24804,26896,29993,x
"  Business, media and public service professionals",24,1220,37059,2.3,43226,2.1,19549,25500,27684,30000,33437,41411,47168,51000,55379,70715
    Legal professionals,241,125,46003,2.3,57894,1.5,21877,29970,32300,35234,40468,53061,63979,69478,78654,x
      Barristers and judges,2412,x,34806,21.8,38823,,x,x,x,x,x,x,x,x,x,x
      Solicitors,2413,74,41003,-0.1,48498,1,20493,26861,30000,32000,36852,46288,53748,57889,63523,x
      Legal professionals n.e.c.,2419,41,67170,-4.8,79602,-3.1,32198,41690,44756,47164,58520,75966,89374,94739,103322,x
"    Business, research and administrative professionals",242,566,39754,2.5,45591,1.3,20203,26682,29602,31583,35329,45172,51871,55161,59632,73481
      Chartered and certified accountants,2421,75,34995,0.6,40394,5.3,x,22624,25181,27311,31571,40546,45377,47410,51441,x
      Management consultants and business analysts,2423,145,38752,-3.3,44276,-4.2,19280,25093,27311,30044,34044,44189,51526,54244,59435,x
      Business and financial project management professionals,2424,206,46913,3.4,52249,4.2,23684,30922,34021,36304,41382,53873,60544,64981,68678,x
"      Actuaries, economists and statisticians",2425,23,46072,-4.2,59452,,27287,33361,35077,37217,41031,52957,60855,x,x,x
      Business and related research professionals,2426,71,33299,3.1,33454,1,18265,23645,26099,27681,30892,34846,37660,38616,41213,x
"      Business, research and administrative professionals n.e.c.",2429,46,37311,1.6,40186,1.8,21619,27729,30053,31474,34846,43826,48788,50007,51648,x
"    Architects, town planners and surveyors",243,139,37389,2.1,41770,2.3,22364,27510,30000,31604,34065,41225,46653,49524,52345,x
      Architects,2431,33,37505,0.8,42857,-2.3,x,28029,30435,32144,34019,40123,46618,49127,x,x
      Town planning officers,2432,x,34235,-3.5,36577,-4.7,x,x,x,27399,30919,x,x,x,x,x
      Quantity surveyors,2433,28,42309,2,45157,5.7,20338,27303,30173,32981,37590,47090,50167,54221,x,x
      Chartered surveyors,2434,51,36342,3.6,40092,4.5,23893,27801,30000,31506,33577,39849,44002,46837,49662,x
      Chartered architectural technologists,2435,x,x,,37364,6.2,x,x,x,x,x,x,x,x,x,x
      Construction project managers and related professionals,2436,20,36078,-0.3,41536,0.9,x,25487,28517,30745,33776,40184,50389,x,x,x
    Welfare professionals,244,158,28953,3.7,29015,2.9,15319,20912,23556,24667,26261,32029,34456,35525,36826,41068
      Social workers,2442,95,32238,2.2,31261,2.5,18036,23239,25663,27269,30001,34223,36096,37302,38486,42366
      Probation officers,2443,9,30842,18.8,29060,12.6,x,19655,24990,25177,29998,32646,33006,x,x,x
      Clergy,2444,39,25035,3,23705,5,10679,14892,17875,21128,23784,25608,26150,26248,x,x
      Welfare professionals n.e.c.,2449,15,29052,4.2,28534,2.9,x,18966,20852,22593,27028,32232,35625,36158,x,x
    Librarians and related professionals,245,20,23577,4.6,24747,2.9,x,14672,16143,17108,20379,26722,29528,30578,x,x
      Librarians,2451,11,21474,-7.1,25314,2.1,x,14321,15639,16354,18728,25670,x,x,x,x
      Archivists and curators,2452,9,25808,22.4,24048,5,x,x,16839,x,21727,26869,28406,x,x,x
    Quality and regulatory professionals,246,120,39249,2.3,43431,1.4,23621,28608,31047,32623,35966,42439,46628,49456,53529,x
      Quality control and planning engineers,2461,36,37731,2.6,37774,-0.1,x,27427,28897,31260,34149,40031,43491,44831,x,x
      Quality assurance and regulatory professionals,2462,74,41795,3.5,47332,1.8,24392,29481,31754,33657,37746,45000,51422,56326,60493,x
      Environmental health professionals,2463,10,35804,4.3,34944,2.7,x,26941,28513,29981,34466,36996,38970,x,x,x
    Media professionals,247,91,33514,3.2,38977,6,x,23813,25766,26978,30350,37610,41654,44178,46901,x
"      Journalists, newspaper and periodical editors",2471,40,34996,5.4,38289,2.3,x,x,26084,27805,30871,39019,42748,x,x,x
      Public relations professionals,2472,28,31558,6.5,36372,4.4,x,x,24134,25254,28229,33342,x,x,x,x
      Advertising accounts managers and creative directors,2473,23,36000,-0.7,43389,13.3,20818,25377,28527,29341,x,x,x,x,x,x
Associate professional and technical occupations,3,3223,30326,0.9,35776,2.6,14344,20064,22016,23760,27000,34230,39006,41709,44800,56183
"  Science, engineering and technology associate professionals",31,577,28371,2,30254,2.4,16544,19875,21281,22692,25661,31111,34450,36610,39310,45994
"    Science, engineering and production technicians",311,326,27002,-0.3,29024,0.7,15550,19007,20221,21602,24265,30038,33421,35609,38407,44774
      Laboratory technicians,3111,57,19401,0.9,22270,3.1,12046,15302,16308,16927,18172,21008,23159,25317,28009,x
      Electrical and electronics technicians,3112,8,32583,3.6,33823,6.5,x,x,25604,26781,29500,35477,x,x,x,x
      Engineering technicians,3113,70,34514,-0.7,35534,0.7,20639,25446,26929,28539,31084,38378,41569,43303,44718,x
      Building and civil engineering technicians,3114,x,x,,24869,-19.7,x,x,x,x,x,x,x,x,x,x
      Quality assurance technicians,3115,29,25787,2.1,29301,8.6,18830,21767,22528,x,24264,27307,30529,x,x,x
"      Planning, process and production technicians",3116,30,28929,-3.1,31124,-3.6,x,x,24022,24943,26998,32038,34264,x,x,x
"      Science, engineering and production technicians n.e.c.",3119,127,26449,0.8,27752,1,14908,18877,19888,21114,23908,29024,32117,33828,35633,x
    Draughtspersons and related architectural technicians,312,43,29360,2.6,30681,1.2,17966,22626,23890,25000,26984,31370,33860,35290,37651,x
